task_id,action_summary,why_needed,destination,required_docs,steps_short,steps_detail,office_hours,address,phone,done_condition,faq
RN-D14-04,故人の入院・通院で支払った医療費が高額療養費の限度額を超えていないか確認し、超えていれば還付を申請する。,自己負担限度額を超えた分が戻ってきます。知らないと損をする制度です。\n【対象期間】過去2年分まで遡って請求可能 (時効2年)。\n【自己負担限度額の目安】70歳未満で年収約370万円以下なら57600円/月、住民税非課税世帯なら35400円/月。長期入院や手術歴がある故人なら必ず確認してください。,国保・後期高齢者：市区町村役場／社保：協会けんぽ支部等,故人の保険証、医療費の領収書、振込先口座、印鑑,1. 故人の医療費領収書を集める\n2. 月ごとの自己負担額を確認する（約8万円/月以上なら対象の可能性）\n3. 役場に電話して該当するか確認する\n4. 該当する場合は申請書を提出する,1. —\n2. 限度額は年齢・所得により異なります。\n3. 市区町村役場に電話して「高額療養費の還付があるか確認したい」と伝えてください。自分で判断できなくても教えてもらえます。\n4. 持ち物：医療費領収書・振込先口座・印鑑。,平日 8:30-17:15（役場）,,,高額療養費の該当有無を確認済み。該当する場合は申請提出済み。,Q.限度額はいくら？→年齢・所得により異なります。70歳未満の一般的なケースで月約8万円です\nQ.入院していなくても対象？→通院でも限度額を超えていれば対象です\nQ.該当するかわからない→役場に電話して確認を依頼してください
RN-D14-05,故人の介護保険被保険者証を返却し、保険料の精算と高額介護サービス費の還付があるか確認する。,保険料の過払い分が戻る場合があります。被保険者証の返却も必要です。\n【対象者】65歳以上は全員 (第1号被保険者)、40-64歳で要介護認定を受けていた方 (第2号被保険者)。サービス利用の有無にかかわらず被保険者証の返却が義務です (介護保険法)。,市区町村役場,介護保険被保険者証、負担割合証、届出人の本人確認書類、印鑑,1. 役場で「介護保険の届出をしたい」と伝える\n2. 被保険者証を返却する\n3. 保険料の還付・高額介護サービス費の該当を確認する\n4. 施設入居だった場合は施設にも連絡して精算する,1. 65歳以上（または40〜64歳で要介護認定あり）が対象です。持ち物：被保険者証・負担割合証・届出人の本人確認書類と印鑑。\n2. —\n3. 「保険料の還付はありますか」「高額介護サービス費の該当はありますか」と聞いてください。\n4. 「利用料の精算と退所手続きについてお聞きしたい」と伝えてください。,平日 8:30-17:15,,,被保険者証を返却し、保険料精算・還付の確認完了。,Q.65歳未満でも対象？→40〜64歳で要介護認定を受けていた方は対象です\nQ.施設の費用が未精算→施設に直接連絡してください\nQ.保険料の還付はある？→月途中で亡くなった場合、過払い分が還付されることがあります
RN-D14-06,年金事務所に届け出て、故人の年金の受給を止める。届出が遅れると、あとから返還を求められる。厚生年金は10日以内が期限。,届出が遅れると死亡後も年金が振り込まれ、返還手続きが非常に面倒になります。,年金事務所／国民年金のみは市区町村役場でも可,故人の年金証書、死亡確認書類、届出人の本人確認書類,1. 届出期限を確認する（厚生年金10日、国民年金14日）\n2. 年金事務所に電話して予約する\n3. 「死亡届と未支給年金の請求を同時にしたい」と伝える\n4. 受給権者死亡届を提出する,1. 届出先：厚生年金→管轄の年金事務所（ねんきんダイヤル 0570-05-1165）、国民年金のみ→市区町村役場でも可。\n2. —\n3. 同時に手続きすると1回の来所で済みます。持ち物：故人の年金証書・死亡確認書類・届出人の本人確認書類。\n4. 郵送でも提出できます。マイナンバー登録済みなら届出不要の場合があります（事務所に確認）。\n届出が遅れると年金が振り込まれ、返還手続きが面倒になります。,平日 8:30-17:15,,0570-05-1165（ねんきんダイヤル）,受給権者死亡届が提出され、年金受給が停止処理されている。,Q.年金証書が見つからない→基礎年金番号がわかれば手続きできます\nQ.マイナンバー登録済みなら届出不要？→省略できる場合があります。年金事務所に確認してください\nQ.死亡後に振り込まれた年金は？→返還が必要です。未支給年金と相殺できる場合があります
RN-D14-07,故人が受け取れなかった年金（未支給年金）を請求する。年金は後払いのため、死亡月までの未受給分が発生する。,故人が受け取るはずだった年金を、生計を同じくしていた遺族が受け取れます。\n【受給未開始でも対象】受給年齢に達していたが請求未了で死亡した場合は、本人の年金請求と未支給年金請求を同時に行えます。請求しないともらえません。,年金事務所／国民年金は市区町村役場,故人の年金証書、戸籍謄本、生計同一証明書類、振込先口座、印鑑,1. 故人と生計同一だった遺族が請求できることを確認する（配偶者→子→父母の順）\n2. 年金停止届（RN-D14-06）と同時に手続きする\n3. 「未支給年金・保険給付請求書」を記入・提出する,1. 年金は後払いのため、死亡月までの未受給分（最大2か月分）が発生します。\n2. 持ち物：年金証書・戸籍謄本・生計同一証明（同居なら住民票、別居なら仕送り記録等）・振込先口座・印鑑。\n3. 審査後2〜3か月で振込されます。,平日 8:30-17:15,,0570-05-1165（ねんきんダイヤル）,未支給年金の請求書が提出済み。,Q.誰が請求できる？→生計を同じくしていた遺族です（配偶者→子→父母の順）\nQ.別居でも請求できる？→経済的援助があれば認められることがあります。第三者の証明が必要です\nQ.いくらもらえる？→最大2か月分です
RN-D14-08,遺族基礎年金・遺族厚生年金の受給資格があるか確認し、該当する場合は請求手続きを進める。年額80〜200万円以上になることも。,遺族年金は生活を支える非常に大きな制度です。該当するなら必ず請求してください。\n【中高齢寡婦加算】夫が亡くなったとき妻が40歳以上65歳未満で、子のない場合は中高齢寡婦加算が加算されます。\n【受給対象者】配偶者・子・父母・孫・祖父母 (兄弟姉妹は対象外)。,年金事務所,故人の年金証書、戸籍謄本、住民票、収入証明、振込先口座、死亡診断書コピー,1. 遺族基礎年金の対象か確認する（18歳以下の子がいる配偶者/子）\n2. 遺族厚生年金の対象か確認する（故人に会社員歴があれば子なし配偶者でも対象）\n3. 年金事務所に電話して受給資格を確認する\n4. 該当する場合は書類を揃えて請求する,1. 年額約80万円＋子の加算です。\n2. 金額は加入期間と報酬によります。年金事務所で試算してもらえます。\n3. 管轄の年金事務所（ねんきんダイヤル 0570-05-1165）に「遺族年金を受け取れるか確認したい」と伝える。年金証書を手元に準備してください。\n4. 請求から支給開始まで3〜4か月。5年以内なら遡及受給が可能です。\n年額80〜200万円以上になることもあるので、必ず確認してください。,平日 8:30-17:15,,0570-05-1165（ねんきんダイヤル）,受給資格の有無が確認済み。該当する場合は請求に着手済み。,Q.共働きでも受け取れる？→年収850万円未満なら受給できます\nQ.子どもがいなくてももらえる？→遺族厚生年金は子なしでも配偶者が受給できる場合があります\nQ.いくらもらえる？→加入期間と報酬によります。年金事務所で試算してもらえます
RN-D14-09,故人名義の銀行口座について、各銀行に死亡を届け出る。届け出ると口座が凍結される。凍結前に引落し整理（RN-D7-10）を済ませておくこと。,口座凍結で不正引き出しを防止します。相続手続きの起点にもなります。\n【口座が把握できない場合】通帳・キャッシュカード・郵便物・スマホアプリを確認。さらに「全国銀行協会の預金口座照会制度」で複数行を一括照会できます (実費)。ゆうちょ銀行・JAバンク・信用金庫もそれぞれ別途確認してください。,各銀行の窓口,届出者の本人確認書類、故人の通帳・カード、死亡確認書類,1. 自動引落しの整理（RN-D7-10）を先に完了する\n2. 口座がある銀行すべてに電話して届出方法を確認する\n3. 各銀行の窓口で届出する\n4. 「相続手続きの必要書類リスト」をもらう,1.【重要】届出をすると口座が凍結されます。名義変更が必要な引落しを先に済ませてください。\n2. 「口座名義人が亡くなりました。届出をしたい」と伝えてください。\n3. 持ち物：届出人の本人確認書類・故人の通帳/カード・死亡確認書類。\n4. 当面の生活費が必要なら「相続預金の払戻し制度」で各口座150万円まで引出し可能です。\n口座の解約・払戻しは遺産分割確定後（RN-M10-05）に行います。,平日 9:00-15:00（窓口）,,,全銀行口座について死亡届出が完了している。,Q.凍結されると生活費が引き出せない？→「相続預金の払戻し制度」で1口座150万円まで引き出せます\nQ.全部同時に届け出る？→同時でなくても大丈夫ですが、不正引き出し防止のため早めに届け出てください\nQ.ネット銀行は？→カスタマーセンターに電話して届け出てください
RN-D14-10,故人名義の証券口座について、証券会社に死亡を届け出る。届出後は相続手続き完了まで売買できません。,口座凍結で不正売却を防止します。相続手続き完了まで売買はできなくなります。\n【対象口座】通常口座・特定口座・NISA口座・iDeCo (RN-D14-27 別タスク)・財形貯蓄が含まれます。,各証券会社の窓口/カスタマーセンター,届出者の本人確認書類、故人の口座番号がわかる書類、死亡確認書類,1. 証券口座の有無を確認する（郵便物・通帳の配当金入金等）\n2. 各社のカスタマーセンターに電話して届出する\n3. 相続人名義の口座開設についても確認する,1. 確定申告書控えやPCのブックマークも手がかりになります。\n2. 「口座名義人が亡くなりました。届出をしたい」と伝えてください。届出後は相続手続き完了まで売買できません。\n3. どの証券会社かわからない場合は、証券保管振替機構（ほふり）に開示請求できます。,各社による,,,全証券口座について死亡届出が完了。,Q.どの証券会社かわからない→通帳の入金記録、郵便物、確定申告書から手がかりを探してください\nQ.株価が下がっているので早く売りたい→相続手続き完了まで売買不可です。速やかに手続きを進めてください\nQ.証券保管振替機構に照会できる？→はい。相続人から照会請求できます
RN-D14-11,故人が加入していた生命保険の死亡保険金を請求する。医療保険・共済はそれぞれ別タスク(RN-D14-11b/11c)。,保険金は請求しないと支払われません。葬儀費用や当面の生活費に充てられるため、早めの請求をおすすめします。請求期限は3年(かんぽ生命は5年)。\n【加入先不明な場合】生命保険協会の「契約照会制度」(1件3000円)で、故人の生命保険契約の有無を一括照会できます。,加入していた各生命保険会社のカスタマーセンター,保険証券、死亡診断書コピー、受取人の本人確認書類・戸籍謄本・振込先口座・印鑑,1. 加入先を確認する(保険証券・通帳の引落し記録)\n2. 各社に電話して「死亡保険金の請求をしたい」と伝える\n3. 請求書類一式を取り寄せる\n4. 書類を揃えて記入・返送する,1. わからない場合は生命保険協会の「契約照会制度」で調べられます。\n2. —\n3. —\n4. 同封するもの:死亡診断書コピー・受取人の本人確認書類/戸籍謄本/振込先口座。5営業日〜1か月で振込されます。,各社による(多くは平日9:00-17:00),,,生命保険の死亡保険金請求書を全社に提出済み。,Q.保険証券が見つからない→生命保険協会の「契約照会制度」で調べられます\nQ.受取人が故人本人になっている→法定相続人が受取人になります\nQ.相続財産になる？→受取人が指定されていれば固有財産です。ただし相続税の対象にはなります
RN-D14-15,故人名義の電気・ガス・水道の契約について、名義変更または解約をする。,故人名義のままだと請求書が届かなくなったり、供給が停止されるリスクがあります。,契約している電力会社,故人名義の請求書/契約書、新名義人の本人確認書類,1. 電力会社を確認する(検針票・通帳の引落し記録)\n2. 住み続ける場合は電話で名義変更する\n3. 空き家にする場合は解約する\n4. オール電化住宅の場合はとくに早急に手続きする,1. 検針票か直近の引落し履歴で会社名がわかります。\n2. 「契約者が亡くなりました。名義変更をお願いしたい」と伝えれば電話1本で完了することが多いです。\n3. ブレーカーを落としてから解約手続き。最終料金の精算は1か月程度。\n4. オール電化なら止めると暖房・給湯すべて止まるため要注意。,各電力会社による(平日 9-17時),,,電気契約の名義変更または解約が完了。,Q.電話1本でできる？→名義変更は電話のみで完了することが多いです\nQ.電力会社がわからない→検針票か通帳の引落し履歴で確認\nQ.オール電化の解約は？→暖房・給湯が止まるため十分に検討
RN-D14-16,故人名義の通信契約（携帯電話・インターネット回線・サブスクリプション）を解約またはMNP／移管する。,放置すると毎月料金が発生し続けます。携帯番号はSMSの二段階認証に使われていることが多いため、解約前に他サービスの引き継ぎを確認してください。,各キャリアショップまたはカスタマーセンター,故人の携帯・SIMカード、届出人の本人確認書類、死亡証明書、故人との関係がわかる戸籍,1. SMS二段階認証に使われているサービスを先に他に移管する\n2. 主要 SNS・LINE のバックアップを取る\n3. キャリアに連絡して死亡解約またはMNPする\n4. SIMカードを返却する,1.【重要】携帯を先に解約すると 他のサービス(銀行・SNS等)にログインできなくなることがあります。\n2. LINEのバックアップは特に重要(トーク履歴が消える)。\n3. キャリアに電話またはショップで手続き。死亡解約は違約金が免除されることが多いです。\n4. SIMカード返却で完了。固定電話は別タスク(現在は本タスクに統合)。,キャリアショップ:10:00〜19:00が一般的,,,故人の携帯電話の解約またはMNPが完了。,Q.暗証番号がわからない→戸籍謄本と死亡証明があれば解約できるキャリアがほとんどです\nQ.LINEのデータを残したい→解約前にバックアップを取ってください\nQ.違約金はかかる？→死亡による解約は免除されることが多いです
RN-D14-17,故人名義のクレジットカードについて、カード会社に届け出て解約する。カード決済のサブスクや定期支払いがないかも確認。,放置すると年会費が発生し、不正利用のリスクもあります。\n【家族カード注意】故人本人カードに加え、家族向けに発行された家族カードも一緒に解約手続きが必要です。,各カード会社のカスタマーセンター,クレジットカード/会員番号、届出人の本人確認書類、死亡確認書類,1. 故人名義のカードをリストアップする\n2. 各社に電話して「名義人死亡による解約」を依頼する\n3. カード決済のサブスク・未払い残高・リボ残高を確認する\n4. カード本体をハサミで裁断する,1. 財布・郵便物・通帳・スマホ決済アプリを確認してください。\n2. 会員番号不明でも氏名・生年月日と死亡証明で手続きできます。\n3. カード解約前にサブスクの切り替え先を確認しておいてください。\n4. ICチップ部分と磁気ストライプ部分を切断してください。,各社による（24時間対応あり）,,,全カードの解約完了、未払い残高の精算方法確認済み。,Q.暗証番号がわからなくても解約できる？→はい。会員番号と死亡証明があれば手続きできます\nQ.リボ払いの残高がある→相続人に支払い義務があります。一括か分割か相談してください\nQ.ポイントは使える？→ほとんどの場合失効します。カード会社に確認してください
RN-D14-18,故人名義の賃貸住宅（公営住宅含む）の名義変更または解約をする。住み続ける場合は名義変更、退去する場合は解約。退去が決まったら郵便局で郵便転送届も出すこと。,公営住宅は独自の規定があるため早めに役場に相談してください。,民間：管理会社・大家／公営住宅：市区町村役場,賃貸借契約書、届出人の本人確認書類、死亡確認書類,1. 町営住宅→役場に連絡する（承継 or 退去を相談）\n2. 民間賃貸→管理会社/大家に連絡する（名義変更 or 解約）\n3. 退去する場合は遺品整理の日程も調整する\n4. 退去が決まったら郵便局で転居届（転送届）を提出する,1. 公営住宅は市区町村役場に連絡してください。同居家族なら承継（名義変更）できる場合があります。\n2. 解約は通常1か月前予告が必要です。敷金精算も確認してください。\n3. 業者に依頼する場合は2〜3社から見積もりを取ることをおすすめします。\n4. 郵便局窓口またはe転居（オンライン）で手続きできます。\n届出から反映まで1週間程度です。転送期間は1年間です（延長可）。\n故人宛の重要書類（税金通知・保険案内等）を見逃さないために必ず行ってください。,役場：平日 8:30-17:15／管理会社：営業時間内,,,賃貸住宅の名義変更/解約の手続きが完了（開始済み）。郵便転送届が必要な場合は提出済み。,Q.公営住宅に住み続けたい→同居家族なら承継できる場合があります。役場に相談してください\nQ.退去のタイミング→解約予告期間（通常1か月前）が必要です\nQ.遺品整理業者を探している→近隣の業者に見積もりを取ってください\nQ.郵便転送届はいつ出す？→退去が決まったらすぐに届け出てください。反映まで1週間程度かかります\nQ.転送期間は？→1年間です。延長もできます
