rule_id,task_id,rule_type,required_questions,applies_when,not_applicable_when,auto_done_when,fallback_status
TR-1440,RN-D14-40,CONFIRMED,Q-REL-01;Q-PEN-01;Q-PEN-EMP-01,Q-REL-01 in [SPOUSE;UNKNOWN] AND (Q-PEN-01 == NO OR Q-PEN-01 == UNKNOWN),Q-REL-01 in [PARENT;CHILD;SIBLING;OTHER_RELATIVE;NON_RELATIVE] OR Q-PEN-01 == YES,,NEED_CONFIRM
TR-1441,RN-D14-41,CONFIRMED,Q-PEN-01,Q-PEN-01 == NO OR Q-PEN-01 == UNKNOWN,,,NEED_CONFIRM
TR-1442,RN-D14-42,CONFIRMED,Q-DECEASED-EMP-01,Q-DECEASED-EMP-01 == YES OR Q-DECEASED-EMP-01 == UNKNOWN,,,NEED_CONFIRM
TR-1443,RN-D14-43,CONFIRMED,Q-DECEASED-EMP-01,Q-DECEASED-EMP-01 == YES OR Q-DECEASED-EMP-01 == UNKNOWN,,,NEED_CONFIRM
TR-1445,RN-D14-45,CONFIRMED,Q-ROSAI,Q-ROSAI == YES OR Q-ROSAI == UNKNOWN,,,NEED_CONFIRM
TR-8211b,RN-D14-11b,CONFIRMED,Q-INS-01,Q-INS-01 contains MEDICAL,Q-INS-01 == NONE OR (answered_non_unknown(Q-INS-01) AND Q-INS-01 does_not_contain MEDICAL),,NEED_CONFIRM
TR-8211c,RN-D14-11c,CONFIRMED,Q-INS-01,Q-INS-01 contains COOP,Q-INS-01 == NONE OR (answered_non_unknown(Q-INS-01) AND Q-INS-01 does_not_contain COOP),,NEED_CONFIRM
TR-8225b,RN-D14-25b,CONFIRMED,Q-RE-01,Q-RE-01 == YES OR Q-RE-01 == UNKNOWN,,,NEED_CONFIRM
TR-1452,RN-D14-52,CONFIRMED,Q-LOCKER,Q-LOCKER == YES OR Q-LOCKER == UNKNOWN,,,NEED_CONFIRM
TR-1454,RN-D14-54,CONFIRMED,Q-SCHOLARSHIP,Q-SCHOLARSHIP == YES OR Q-SCHOLARSHIP == UNKNOWN,,,NEED_CONFIRM
TR-1460,RN-D14-60,CONFIRMED,Q-PUBLIC-HOUSING,Q-PUBLIC-HOUSING == YES,Q-PUBLIC-HOUSING == NO,,NEED_CONFIRM
TR-3022,RN-M3-22,CONFIRMED,Q-WILL-01,Q-WILL-01 == YES,Q-WILL-01 == NO,,NEED_CONFIRM
TR-1470,RN-D14-70,CONFIRMED,Q-NHK-01,Q-NHK-01 == YES OR Q-NHK-01 == UNKNOWN,Q-NHK-01 == NO,,NEED_CONFIRM
TR-1471,RN-D14-71,CONFIRMED,Q-REL-01;Q-PEN-EMP-01,Q-REL-01 == SPOUSE AND (Q-PEN-EMP-01 == YES OR Q-PEN-EMP-01 == UNKNOWN),Q-REL-01 != SPOUSE OR Q-PEN-EMP-01 == NO,,NEED_CONFIRM
TR-1472,RN-D14-72,CONFIRMED,Q-DELIVERY-01,Q-DELIVERY-01 == YES OR Q-DELIVERY-01 == UNKNOWN,Q-DELIVERY-01 == NO,,NEED_CONFIRM
