task_id,title,domain,time_bucket,display_policy,priority,depends_on,depends_logic,onboarding_step,legal_due_days_from_dod,legal_due_note,recommended_start_days_from_dod,due_type,urgency_tier
RN-D14-11b,故人の医療保険・がん保険の給付金を請求する,INSURANCE,D14,CONDITIONAL,80,RN-D7-06,SINGLE,3,,医療保険の請求期限は3年,7,CLAIM_WINDOW,HIGH
RN-D14-11c,共済(JA共済・県民共済等)を請求する,INSURANCE,D14,CONDITIONAL,82,RN-D7-06,SINGLE,3,,共済金の請求期限は3年,7,CLAIM_WINDOW,HIGH
RN-D14-25b,故人の固定資産税の納税義務を引き継ぐ,TAX,D14,CONDITIONAL,68,RN-D7-06,SINGLE,3,,不動産保有時のみ。納税通知書が届き次第対応,7,RECOMMENDED,MEDIUM
RN-D14-52,銀行の貸金庫を開けて中身を確認・解約する,FINANCE,D14,CONDITIONAL,75,RN-D14-09,SINGLE,3,,相続人全員の同意が必要。早期確認推奨,14,RECOMMENDED,HIGH
RN-D14-54,故人の奨学金の返還免除を申請する,FINANCE,D14,CONDITIONAL,80,RN-D7-06,SINGLE,4,,死亡後すみやかに届出。返還免除可能,14,RECOMMENDED,HIGH
RN-D14-60,故人が住んでいた公営住宅の名義変更・明け渡しをする,HOUSING,D14,CONDITIONAL,80,RN-D7-06,SINGLE,3,14,公営住宅は名義人死亡時に14日以内に届出が必要な自治体多数,7,LEGAL,HIGH
RN-M3-22,自筆の遺言書を家庭裁判所で検認する,INHERITANCE,M3,CONDITIONAL,85,RN-D14-20,SINGLE,3,,遺言書を発見後すみやかに申立。開封厳禁(過料5万円),14,LEGAL,HIGH
RN-D14-70,NHK受信契約を解約・名義変更する,CONTRACTS,D14,ALWAYS,65,,NONE,3,,放置すると受信料が引き落とされ続ける,14,RECOMMENDED,MEDIUM
RN-D14-71,配偶者の年金種別を第3号から第1号に変更する,PENSION,D14,CONDITIONAL,88,RN-D7-06,SINGLE,2,14,配偶者が国民年金第3号被保険者だった場合、14日以内に種別変更届を出す必要がある,3,LEGAL,HIGH
RN-D14-72,故人名義の新聞・宅配サービスを解約する,CONTRACTS,D14,ALWAYS,55,,NONE,3,,放置すると配達と料金請求が続く,14,RECOMMENDED,LOW
