sort_order,question_id,time_bucket,onboarding_step,question_text,answer_type,options_internal,option_labels,exclusive_options,nullable
29,Q-SICKNESS,D14,3,故人は亡くなる前、病気やケガで会社を休んで「傷病手当金」を受け取っていましたか？,single_select,YES;NO;UNKNOWN,はい;いいえ;わからない,,TRUE
30,Q-CRYPTO,D14,3,故人名義の暗号資産（ビットコイン等）やネット証券・FX口座はありますか？,single_select,YES;NO;UNKNOWN,はい;いいえ;わからない,,TRUE
31,Q-EMONEY,D14,3,故人名義の電子マネー・QR決済（Suica/PayPay等）や残高のあるポイントはありますか？,single_select,YES;NO;UNKNOWN,はい;いいえ;わからない,,TRUE
32,Q-LOCKER,D14,3,故人は銀行の貸金庫を契約していましたか？,single_select,YES;NO;UNKNOWN,はい;いいえ;わからない,,TRUE
33,Q-SCHOLARSHIP,M3,4,故人に奨学金（日本学生支援機構等）の返還義務がありましたか？,single_select,YES;NO;UNKNOWN,はい;いいえ;わからない,,TRUE
34,Q-FUNERAL-PLAN,D14,3,四十九日法要や香典返しを行う予定ですか？,single_select,YES;NO;UNKNOWN,はい;いいえ（直葬・家族葬等で省略）;わからない,,TRUE
35,Q-PUBLIC-HOUSING,D14,3,故人は公営住宅（都営・県営・市営等）に住んでいましたか？,single_select,YES;NO;UNKNOWN,はい;いいえ;わからない,,TRUE
36,Q-DRIVING,M10,4,故人は運転免許を持っていましたか？,single_select,YES;NO;UNKNOWN,はい;いいえ;わからない,,TRUE
37,Q-NHK-01,D14,3,故人はNHK受信契約をしていましたか？,single_select,YES;NO;UNKNOWN,はい;いいえ（テレビなし／未契約）;わからない,,TRUE
38,Q-DELIVERY-01,D14,3,故人は新聞や定期宅配サービス（牛乳・食材・ウォーターサーバー等）を契約していましたか？,single_select,YES;NO;UNKNOWN,はい;いいえ;わからない,,TRUE
